iter,gmeans,drop,layer,lr,neighbors,neurons,sampling
  1        ,  0.3346   ,  0.2873   ,  4.803    ,  0.007588 ,  12.37    ,  8.645    ,  0.299    
  2        ,  0.0      ,  0.129    ,  4.465    ,  0.00641  ,  14.45    ,  2.009    ,  0.975    
  3        ,  0.5658   ,  0.5162   ,  1.849    ,  0.002636 ,  4.485    ,  15.91    ,  0.6053   
  4        ,  0.7472   ,  0.316    ,  2.165    ,  0.006507 ,  3.65     ,  15.32    ,  0.4737   
  5        ,  0.5141   ,  0.328    ,  4.141    ,  0.002797 ,  10.77    ,  30.03    ,  0.208    
  6        ,  0.6491   ,  0.4038   ,  1.682    ,  0.001585 ,  19.03    ,  48.32    ,  0.8409   
  7        ,  0.6262   ,  0.2523   ,  1.391    ,  0.007158 ,  9.363    ,  6.98     ,  0.5807   
  8        ,  0.8116   ,  0.1172   ,  4.637    ,  0.003329 ,  13.59    ,  16.27    ,  0.6014   
  9        ,  0.7967   ,  0.3734   ,  1.739    ,  0.009726 ,  15.73    ,  47.04    ,  0.9126   
  10       ,  0.0      ,  0.3989   ,  4.687    ,  0.001796 ,  4.724    ,  3.216    ,  0.4396   
  11       ,  0.8294   ,  0.2943   ,  2.085    ,  0.008459 ,  7.778    ,  14.77    ,  0.6202   
  12       ,  0.7749   ,  0.1705   ,  4.209    ,  0.001671 ,  19.75    ,  38.84    ,  0.3345   
  13       ,  0.4811   ,  0.1028   ,  4.262    ,  0.007362 ,  14.85    ,  38.79    ,  0.2309   
  14       ,  0.4357   ,  0.2792   ,  1.463    ,  0.008768 ,  12.84    ,  17.21    ,  0.2222   
  15       ,  0.8082   ,  0.2555   ,  2.301    ,  0.007566 ,  13.11    ,  44.47    ,  0.5616   
  16       ,  0.8056   ,  0.4336   ,  2.259    ,  0.009591 ,  15.05    ,  45.44    ,  0.9395   
  17       ,  0.6031   ,  0.318    ,  2.976    ,  0.00232  ,  2.838    ,  13.69    ,  0.424    
  18       ,  0.704    ,  0.1736   ,  1.721    ,  0.00715  ,  13.75    ,  46.2     ,  0.4913   
  19       ,  0.7873   ,  0.1      ,  3.009    ,  0.01     ,  8.67     ,  14.11    ,  0.6501   
  20       ,  0.5777   ,  0.1      ,  1.283    ,  0.01     ,  7.995    ,  13.45    ,  0.4006   
  21       ,  0.8128   ,  0.349    ,  3.004    ,  0.01     ,  8.185    ,  15.51    ,  0.8147   
  22       ,  0.7964   ,  0.6      ,  1.477    ,  0.01     ,  14.43    ,  43.61    ,  1.0      
  23       ,  0.7984   ,  0.6      ,  3.565    ,  0.001    ,  14.24    ,  43.94    ,  1.0      
  24       ,  0.7822   ,  0.1      ,  5.0      ,  0.001    ,  11.94    ,  15.33    ,  1.0      
  25       ,  0.8004   ,  0.1      ,  5.0      ,  0.001    ,  14.52    ,  14.86    ,  1.0      
  26       ,  0.515    ,  0.1      ,  2.355    ,  0.01     ,  17.02    ,  44.68    ,  0.1694   
  27       ,  0.4723   ,  0.1      ,  3.4      ,  0.01     ,  7.271    ,  14.65    ,  0.1694   
  28       ,  0.8199   ,  0.4336   ,  2.121    ,  0.007808 ,  8.658    ,  15.18    ,  1.0      
  29       ,  0.3348   ,  0.5878   ,  4.861    ,  0.009287 ,  13.49    ,  15.0     ,  0.5569   
  30       ,  0.8164   ,  0.2812   ,  2.509    ,  0.009629 ,  8.311    ,  14.88    ,  0.8235   
  31       ,  0.816    ,  0.4866   ,  2.402    ,  0.006887 ,  14.16    ,  44.42    ,  0.9041   
  32       ,  0.8152   ,  0.1      ,  4.966    ,  0.001    ,  15.12    ,  15.57    ,  1.0      
  33       ,  0.7732   ,  0.1      ,  4.803    ,  0.001    ,  13.94    ,  16.92    ,  1.0      
  34       ,  0.7738   ,  0.1      ,  5.0      ,  0.001    ,  15.38    ,  14.55    ,  1.0      
  35       ,  0.6386   ,  0.3977   ,  1.891    ,  0.009346 ,  7.886    ,  15.65    ,  0.477    
  36       ,  0.811    ,  0.5225   ,  3.154    ,  0.005057 ,  9.128    ,  15.31    ,  1.0      
