iter,gmeans,drop,layer,lr,neighbors,neurons,sampling
  37       ,  0.7855   ,  0.1      ,  4.792    ,  0.001    ,  12.33    ,  16.64    ,  0.9959   
  38       ,  0.8268   ,  0.5489   ,  2.518    ,  0.00654  ,  13.52    ,  43.43    ,  0.9174   
  39       ,  0.5535   ,  0.1018   ,  1.583    ,  0.001066 ,  13.15    ,  43.31    ,  0.6137   
  40       ,  0.7955   ,  0.6      ,  3.029    ,  0.01     ,  13.29    ,  44.13    ,  1.0      
  41       ,  0.7994   ,  0.3925   ,  3.079    ,  0.003805 ,  13.98    ,  43.63    ,  0.4202   
  42       ,  0.7971   ,  0.6      ,  2.586    ,  0.01     ,  14.45    ,  43.33    ,  1.0      
  43       ,  0.8039   ,  0.2758   ,  4.814    ,  0.005482 ,  10.81    ,  16.26    ,  0.9963   
  44       ,  0.8375   ,  0.1      ,  4.629    ,  0.001    ,  10.65    ,  15.06    ,  1.0      
  45       ,  0.8529   ,  0.114    ,  3.857    ,  0.007636 ,  10.94    ,  15.89    ,  0.8633   
  46       ,  0.611    ,  0.4401   ,  4.009    ,  0.004267 ,  10.41    ,  15.45    ,  0.3609   
  47       ,  0.7772   ,  0.6      ,  3.003    ,  0.001918 ,  15.1     ,  46.64    ,  1.0      
  48       ,  0.7648   ,  0.4203   ,  4.024    ,  0.009763 ,  11.57    ,  16.44    ,  0.8591   
  49       ,  0.8173   ,  0.1      ,  3.325    ,  0.01     ,  10.29    ,  16.59    ,  1.0      
  50       ,  0.8147   ,  0.1      ,  3.418    ,  0.01     ,  8.784    ,  16.37    ,  1.0      
