,gmeans_NNSMOTE,gmeans_NN
0,0.5424993599586598,0.0
1,0.0,0.0
2,0.6624868971450597,0.0
3,0.6691101055381942,0.0
4,0.4339738855430513,0.0
5,0.7399324293474371,0.0
6,0.6734550220071618,0.0
7,0.6806859285554046,0.0
8,0.7777728174445,0.2719528145346787
9,0.0,0.0
10,0.695671138781345,0.0
11,0.6582805886043833,0.0
12,0.6354132513569417,0.0
13,0.46368092477478523,0.0
14,0.744983221287567,0.0
15,0.7026734661277598,0.15679073101855648
16,0.0,0.2719528145346787
17,0.7513876052566567,0.31269438398822863
18,0.7486098227158569,0.1565691185671328
19,0.7467057281449262,0.0
20,0.7384292638958574,0.0
21,0.0,0.0
22,0.725718035235908,0.27118566825454965
23,0.7481458562487814,0.15723301886761007
24,0.7467057281449262,0.2217355782608345
25,0.7011894655987543,0.1578941276791368
26,0.7339012952101331,0.0
27,0.7187952884282609,0.0
28,0.7680241604995972,0.0
29,0.582737791234903,0.0
30,0.22204854324123713,0.2217355782608345
31,0.7180703308172536,0.0
32,0.7386643351347079,0.0
33,0.743817107149929,0.22142217092644037
34,0.7268654162452175,0.22142217092644037
35,0.758287544405155,0.22142217092644037
36,0.7535103036971543,0.15767406607020418
37,0.7123903424387503,0.0
38,0.7659416862050705,0.22204854324123713
39,0.6508541396588878,0.27233557730613656
40,0.6852615072607926,0.31180478223116176
41,0.7423685817106696,0.2217355782608345
42,0.7596600116718881,0.2223610677354389
43,0.0,0.2719528145346787
44,0.7763876465901411,0.3122498999199199
45,0.7638080765334823,0.0
46,0.7457285773732365,0.22204854324123713
47,0.7850159234053791,0.1578941276791368
48,0.6603345111885843,0.0
49,0.0,0.0
