,gmeans_NNSMOTE,gmeans_NN
0,0.3916814910183985,0.1570603536761227
1,0.6437908735560671,0.337754074424188
2,0.5883546769164274,0.28128097579070677
3,0.5781149730390707,0.2416973071312208
4,0.3573536981147611,0.2727042749676095
5,0.6416467301528073,0.29170545410059096
6,0.5958740549873455,0.2533207829096618
7,0.6195478246231977,0.23740266773753982
8,0.6511076505092167,0.20837175306412492
9,0.0,0.30985909415062857
10,0.6164325380369693,0.3765228904179146
11,0.5303290494898849,0.2660481389870907
12,0.4251926709877443,0.301368188118996
13,0.37106604083670225,0.05619514869490164
14,0.6114652403638475,0.31280883473554194
15,0.411105981365783,0.36778683395391787
16,0.6486028647915889,0.37314515735974113
17,0.6505476604326059,0.2874639275808819
18,0.6517994361739421,0.3986009844904745
19,0.6505693708814717,0.3749563598857706
20,0.45825756949558405,0.2951086928115662
21,0.6502396934162591,0.36577789848393033
22,0.6076961441358679,0.3736390360323297
23,0.6488616075426548,0.22518909072661242
24,0.6470337174977416,0.37148279505514836
25,0.6516314788875294,0.2631984379161833
26,0.43155884647946163,0.15374082901102318
27,0.6508159179783001,0.31763302647394104
28,0.656421008936098,0.35468840422349057
29,0.45825756949558405,0.2990230595454249
30,0.6401214699850147,0.19418460690528663
31,0.6510226670334445,0.19817622827935236
32,0.6342568975779844,0.181758564812624
33,0.6563771116704559,0.2460382966891703
34,0.651579130337423,0.3677153658376968
35,0.6500530393980527,0.3397165413218814
36,0.64805299542302,0.3503455988604767
37,0.628656128299275,0.1502474086658163
38,0.6555516008668328,0.33019445949210063
39,0.5005618428935223,0.35450503163570185
40,0.6505950742970112,0.37756592710914844
41,0.649589220889686,0.34842273327949774
42,0.6231856543279538,0.35036822735065765
43,0.64958850296518,0.37314515735974113
44,0.23630102528406388,0.30645161380811203
45,0.4189406391847891,0.3201906494033772
46,0.22944825632760607,0.33724991968535956
47,0.5845945883928005,0.35742211219948405
48,0.5614308478658582,0.3071588659863665
49,0.0,0.3331806223585887
