,Dataset,Hidden Layer,Learning Rate,Neurons,Dropout,Neighbors,Sampling,G-Means
75,KC2,4.0,0.0050677468025258614,15.0,0.14,16.0,0.38,0.7979322693266319
76,KC2,5.0,0.001,13.0,0.1,20.0,1.0,0.809429081882095
77,KC2,1.0,0.01,19.0,0.1,5.0,0.3,0.7274886707584328
78,KC2,4.0,0.001,18.0,0.6,1.0,1.0,0.8206045410948547
79,KC2,5.0,0.001,23.0,0.6,1.0,1.0,0.739448190024828
80,KC2,1.0,0.001,10.0,0.1,16.0,1.0,0.8135906984236013
81,KC2,5.0,0.001,45.0,0.1,18.0,0.3,0.7626707459098366
82,KC2,1.0,0.0066673206745124555,18.0,0.38,1.0,0.37,0.7423291935381144
83,KC2,5.0,0.001,15.0,0.1,10.0,1.0,0.79888445614432
84,KC2,1.0,0.006817404312747076,14.0,0.53,18.0,0.91,0.8083988940676654
85,KC2,1.0,0.001,50.0,0.6,11.0,0.3,0.6746452392408986
86,KC2,4.0,0.00642505963759639,15.0,0.34,4.0,0.54,0.8488037678152176
87,KC2,1.0,0.001496319019451537,39.0,0.6,8.0,1.0,0.8177311358425309
88,KC2,5.0,0.01,40.0,0.1,6.0,1.0,0.8393118874676114
89,KC2,2.0,0.01,38.0,0.1,3.0,1.0,0.794240966867293
90,KC2,5.0,0.001,37.0,0.6,8.0,0.3,0.6170103357205331
91,KC2,3.0,0.01,42.0,0.1,5.0,1.0,0.8498365855987975
92,KC2,5.0,0.01,42.0,0.1,3.0,1.0,0.8112332680583794
93,KC2,4.0,0.005309280981404693,43.0,0.35,7.0,0.83,0.8347006326814604
94,KC2,1.0,0.01,42.0,0.1,7.0,1.0,0.7948665708765692
95,KC2,1.0,0.01,34.0,0.1,20.0,1.0,0.7891812323819286
96,KC2,1.0,0.002483625993988158,45.0,0.18,1.0,0.64,0.8468206794581098
97,KC2,1.0,0.001,42.0,0.6,1.0,0.3,0.6824448652836702
98,KC2,1.0,0.005092870058997385,47.0,0.14,1.0,0.81,0.8242664646086013
99,KC2,2.0,0.005669736611345282,46.0,0.13,3.0,0.65,0.8282299875521906
100,PC1,4.0,0.007587945476302646,8.0,0.29,12.0,0.3,0.33458740253647806
101,PC1,4.0,0.00641003510568888,2.0,0.13,14.0,0.98,0.0
102,PC1,1.0,0.002636424704863906,15.0,0.52,4.0,0.61,0.5657969840932136
103,PC1,2.0,0.006506676052501416,15.0,0.32,3.0,0.47,0.7471701326378914
104,PC1,4.0,0.002797064039425238,30.0,0.33,10.0,0.21,0.5140612799389697
105,PC1,1.0,0.0015854643368675156,48.0,0.4,19.0,0.84,0.6491384347700531
106,PC1,1.0,0.007158097238609413,6.0,0.25,9.0,0.58,0.6262279506366999
107,PC1,4.0,0.0033290198344001526,16.0,0.12,13.0,0.6,0.8115910722573695
108,PC1,1.0,0.009726261649881027,47.0,0.37,15.0,0.91,0.7967055627890548
109,PC1,4.0,0.0017964325184672756,3.0,0.4,4.0,0.44,0.0
110,PC1,2.0,0.008458637582367364,14.0,0.29,7.0,0.62,0.829420453642214
111,PC1,4.0,0.0016709557931179377,38.0,0.17,19.0,0.33,0.7749285508997151
112,PC1,4.0,0.007361716094628555,38.0,0.1,14.0,0.23,0.4810577405983832
113,PC1,1.0,0.008767930832880343,17.0,0.28,12.0,0.22,0.4356699687213118
114,PC1,2.0,0.007566455605042577,44.0,0.26,13.0,0.56,0.808223859120487
115,PC1,2.0,0.009591159869541774,45.0,0.43,15.0,0.94,0.8056166785879463
116,PC1,2.0,0.002319627220136708,13.0,0.32,2.0,0.42,0.6031416116025853
117,PC1,1.0,0.00715021819816793,46.0,0.17,13.0,0.49,0.7040284580999231
118,PC1,3.0,0.01,14.0,0.1,8.0,0.65,0.7873473493492877
119,PC1,1.0,0.01,13.0,0.1,7.0,0.4,0.577738143112577
120,PC1,3.0,0.01,15.0,0.35,8.0,0.81,0.8128022507542838
121,PC1,1.0,0.01,43.0,0.6,14.0,1.0,0.7964243373385756
122,PC1,3.0,0.001,43.0,0.6,14.0,1.0,0.7984152333448752
123,PC1,5.0,0.001,15.0,0.1,11.0,1.0,0.7821968121200437
124,PC1,5.0,0.001,14.0,0.1,14.0,1.0,0.8004255140762502
125,PC1,2.0,0.01,44.0,0.1,17.0,0.17,0.5150266540849632
126,PC1,3.0,0.01,14.0,0.1,7.0,0.17,0.4723127359650345
127,PC1,2.0,0.007807768762477515,15.0,0.43,8.0,1.0,0.8199010951500606
128,PC1,4.0,0.009287325172658439,15.0,0.59,13.0,0.56,0.33479110873649787
129,PC1,2.0,0.009628829677650417,14.0,0.28,8.0,0.82,0.8164011456423872
130,PC1,2.0,0.0068873838791088165,44.0,0.49,14.0,0.9,0.8159954211570238
