,Dataset,Hidden Layer,Learning Rate,Neurons,Dropout,Neighbors,Sampling,G-Means
326,JM1,4.0,0.001,47.0,0.1,8.0,0.29,0.43155884647946163
327,JM1,1.0,0.01,48.0,0.6,10.0,1.0,0.6508159179783001
328,JM1,1.0,0.01,50.0,0.1,8.0,1.0,0.656421008936098
329,JM1,5.0,0.01,1.0,0.6,12.0,1.0,0.45825756949558405
330,JM1,4.0,0.0059795114097321075,3.0,0.2,14.0,0.84,0.6401214699850147
331,JM1,4.0,0.01,50.0,0.1,12.0,1.0,0.6510226670334445
332,JM1,1.0,0.005916846337813592,46.0,0.23,11.0,0.73,0.6342568975779844
333,JM1,5.0,0.001,15.0,0.1,16.0,1.0,0.6563771116704559
334,JM1,5.0,0.001,18.0,0.1,19.0,1.0,0.651579130337423
335,JM1,5.0,0.001,15.0,0.1,20.0,1.0,0.6500530393980527
336,JM1,2.0,0.001,16.0,0.6,20.0,1.0,0.64805299542302
337,JM1,2.0,0.002277662771299649,12.0,0.29,19.0,0.69,0.628656128299275
338,JM1,3.0,0.001,21.0,0.6,20.0,1.0,0.6555516008668328
339,JM1,4.0,0.008542735042155313,21.0,0.35,18.0,0.48,0.5005618428935223
340,JM1,1.0,0.001,20.0,0.6,20.0,1.0,0.6505950742970112
341,JM1,1.0,0.001,23.0,0.6,20.0,1.0,0.649589220889686
342,JM1,2.0,0.008765070142379731,18.0,0.25,19.0,0.76,0.6231856543279538
343,JM1,1.0,0.001,11.0,0.6,6.0,1.0,0.64958850296518
344,JM1,4.0,0.0029021424661038737,16.0,0.58,18.0,0.37,0.23630102528406388
345,JM1,1.0,0.0012494553124593709,47.0,0.29,15.0,0.32,0.4189406391847891
346,JM1,4.0,0.006923205234749858,3.0,0.38,14.0,0.6,0.22944825632760607
347,JM1,2.0,0.005138946978086282,30.0,0.1,7.0,0.53,0.5845945883928005
348,JM1,1.0,0.006510910662885655,28.0,0.51,6.0,0.57,0.5614308478658582
349,JM1,1.0,0.00646779601487176,1.0,0.19,9.0,0.49,0.0
