,dataset,alg,hyperparam,train_gmeans,train_recall,train_pf,dev_gmeans,dev_recall,dev_pf,test_gmeans,test_recall,test_pf
33,CM1,NB_SMOTE,"{'neighbors': 9.543079965114355, 'sampling': 0.9144578624308968, 'var_smoothing': 0.8096543642456095}",0.597810832,0.44317315,0.193593315,0.665154535,0.575,0.230555556,0.62229826,0.489795918,0.20935412
34,JM1,NB_SMOTE,"{'neighbors': 5.737930618887926, 'sampling': 1.0, 'var_smoothing': 0.0}",0.449692938,0.214789079,0.058500837,0.470122668,0.235789474,0.062658228,0.463494136,0.228245364,0.058790019
35,KC1,LR_SMOTE,"{'c': 9.550729635395436, 'max_iter': 155.0834857618616, 'neighbors': 4.481852494615793, 'sampling': 0.9186354498588637}",0.716422065,0.677930306,0.242900679,0.733138507,0.735395189,0.269111249,0.710277201,0.671779141,0.249018508
36,KC2,LR_SMOTE,"{'c': 8.608596766513095, 'max_iter': 157.68468956280856, 'neighbors': 3.658535966918183, 'sampling': 0.6984090559835362}",0.758374161,0.67751606,0.151117735,0.832104357,0.822222222,0.157894737,0.768071329,0.691588785,0.146987952
37,PC1,LR_SMOTE,"{'c': 9.444823675266589, 'max_iter': 155.9489187073689, 'neighbors': 5.051206602210527, 'sampling': 0.9989939470777583}",0.739903018,0.670106222,0.183030303,0.699490008,0.612903226,0.201690821,0.690648878,0.597402597,0.201550388
38,PC3,LR_SMOTE,"{'c': 7.4421599632286375, 'max_iter': 154.75438627912672, 'neighbors': 1.1295045171165947, 'sampling': 0.9280772710445876}",0.788174938,0.815613879,0.2383409,0.716874925,0.723214286,0.289408867,0.749585072,0.746268657,0.247083775
39,PC4,LR_SMOTE,"{'c': 1.740334275637303, 'max_iter': 74.95208705113906, 'neighbors': 9.477518192071003, 'sampling': 0.9647519400087987}",0.83706076,0.880655841,0.204376235,0.847576695,0.883116883,0.186533212,0.819867205,0.842696629,0.20234375
40,CM1,LR_SMOTE,"{'c': 1.740334275637303, 'max_iter': 74.95208705113906, 'neighbors': 9.477518192071003, 'sampling': 0.9647519400087987}",0.742496181,0.719044171,0.233286908,0.761030004,0.75,0.227777778,0.753519989,0.734693878,0.227171492
41,JM1,LR_SMOTE,"{'c': 9.444823675266589, 'max_iter': 155.9489187073689, 'neighbors': 5.051206602210527, 'sampling': 0.9989939470777583}",0.656816734,0.590582006,0.269520206,0.649675674,0.58,0.272278481,0.65531999,0.588207323,0.269909992
42,KC1,KNN_SMOTE,"{'leaf': 41.78425079321323, 'n': 7.255965670296397, 'neighbors': 6.958914280512885, 'sampling': 1.0}",0.878914608,0.946391467,0.183751212,0.720117561,0.694158076,0.252952144,0.701452948,0.63803681,0.228827818
43,KC2,KNN_SMOTE,"{'leaf': 41.78425079321323, 'n': 7.255965670296397, 'neighbors': 6.958914280512885, 'sampling': 1.0}",0.847203165,0.909388972,0.210730253,0.777253374,0.788888889,0.234210526,0.761475287,0.76635514,0.243373494
44,PC1,KNN_SMOTE,"{'leaf': 16.313617301059892, 'n': 10.0, 'neighbors': 9.226925263339702, 'sampling': 1.0}",0.898576826,0.974242424,0.171212121,0.827963061,0.85483871,0.198067633,0.767870751,0.74025974,0.203488372
45,PC3,KNN_SMOTE,"{'leaf': 15.569381555495742, 'n': 9.362855923325126, 'neighbors': 9.93854675547892, 'sampling': 0.9135871771587059}",0.878635048,0.985539991,0.216673545,0.713746718,0.732142857,0.304187192,0.72076316,0.708955224,0.267232238
46,PC4,KNN_SMOTE,"{'leaf': 23.239140357459718, 'n': 8.411151647026827, 'neighbors': 9.1225960364081, 'sampling': 0.83408857467596}",0.906258105,0.984876093,0.166084182,0.808684823,0.837662338,0.219290264,0.797776052,0.808988764,0.21328125
47,CM1,KNN_SMOTE,"{'leaf': 23.385472597412132, 'n': 9.476910215764745, 'neighbors': 5.81525897459046, 'sampling': 0.7486178036022055}",0.86031021,0.983193277,0.247214485,0.701387514,0.7,0.297222222,0.623720908,0.551020408,0.293986637
48,JM1,KNN_SMOTE,"{'leaf': 15.215440637799505, 'n': 10.0, 'neighbors': 10.0, 'sampling': 1.0}",0.815773722,0.872856681,0.237576133,0.643584441,0.584736842,0.29164557,0.64295625,0.582025678,0.289734533
