,neighbors,sampling
0,2.157649934245167,1.0
1,5.733345876688639,1.0
2,10.938215565456973,0.8632758523039238
3,8.103772360675176,0.7692123067106598
4,8.499611153441402,1.0
5,9.391645284517152,1.0
6,8.534420802375887,1.0
7,6.830464333028321,0.9174441181992385
8,7.449906539216214,0.6693226993557126
9,5.343197619319898,1.0
10,2.516896116272075,0.9001962780315503
11,1.0,1.0
12,6.381099809299767,0.9486948101396808
13,8.45139009943751,0.9709811346454419
14,1.38949074428528,0.9288280100670934
15,8.639686156512989,0.35917033847499785
16,7.662846832269908,0.9735502616043376
17,9.683776268812084,0.9943889193997676
18,2.0983441136030097,0.6325392728699936
19,2.79013373100362,0.7898696281507758
20,9.448792191302406,0.9637926071208499
21,9.566187911141528,1.0
22,10.0,1.0
23,8.491983767203795,0.4266616386627172
24,5.104629857953324,0.8436295822979746
25,5.628109945722504,0.7033185646746807
26,9.543079965114355,0.9144578624308968
27,5.737930618887926,1.0
28,4.481852494615793,0.9186354498588637
29,3.658535966918183,0.6984090559835362
30,5.051206602210527,0.9989939470777583
31,1.1295045171165947,0.9280772710445876
32,9.477518192071003,0.9647519400087987
33,9.477518192071003,0.9647519400087987
34,5.051206602210527,0.9989939470777583
35,6.958914280512885,1.0
36,6.958914280512885,1.0
37,9.226925263339702,1.0
38,9.93854675547892,0.9135871771587059
39,9.1225960364081,0.83408857467596
40,5.81525897459046,0.7486178036022055
41,10.0,1.0
